City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
287,obu,35.0,136.9667,49.12,56,0,5.28,JP,1706574760
288,velikiy ustyug,60.7644,46.3106,32.4,93,100,10.0,RU,1706574760
289,kristiansund,63.1115,7.732,45.25,49,20,16.11,NO,1706574761
290,mil'kovo,55.6078,37.7956,30.6,86,100,13.67,RU,1706574761
291,mundri,-6.9558,111.71,78.85,86,99,3.67,ID,1706574761
292,tofol,5.3248,163.0078,80.38,89,100,14.97,FM,1706574761
293,hamilton,39.1834,-84.5333,36.86,84,100,8.05,US,1706574761
294,north bend,43.4065,-124.2243,61.86,88,0,4.61,US,1706574642
295,ciudad lazaro cardenas,17.9583,-102.2,77.67,75,100,3.71,MX,1706574762
296,nova sintra,14.8667,-24.7167,69.91,67,99,16.8,CV,1706574762
297,balikesir,39.75,28.0,40.51,87,40,4.61,TR,1706574762
298,nagqu,31.5,92.0,4.5,90,100,3.53,CN,1706574762
299,moramanga,-18.9333,48.2,63.97,95,100,3.11,MG,1706574762
300,ivins,37.1686,-113.6794,67.15,36,0,3.0,US,1706574762
301,uvira,-3.4067,29.1458,72.61,92,100,1.28,CD,1706574763
302,penha,-26.7694,-48.6458,75.07,78,40,9.22,BR,1706574763
303,vilyuchinsk,52.9306,158.4028,5.27,77,100,6.53,RU,1706574763
304,gizo,-8.103,156.8419,82.45,78,100,12.73,SB,1706574763
305,mahikeng,-25.8652,25.6442,69.78,68,76,4.61,ZA,1706574763
306,wake village,33.4268,-94.1063,57.31,61,0,5.75,US,1706574763
307,rifle,39.5347,-107.7831,54.19,43,0,0.0,US,1706574764
308,nova vicosa,-17.8919,-39.3719,78.51,85,100,14.16,BR,1706574764
309,amble,55.3333,-1.5833,43.3,93,100,16.11,GB,1706574764
310,zaragoza,41.6561,-0.8773,52.48,84,75,2.3,ES,1706574764
311,tangalle,6.024,80.7911,77.16,89,99,7.94,LK,1706574764
312,maloye ganyushkino,46.6,49.2667,18.34,77,10,8.28,KZ,1706574764
313,holualoa,19.6228,-155.9522,78.78,78,40,19.57,US,1706574765
314,les cayes,18.2,-73.75,75.33,76,27,4.5,HT,1706574765
315,nadym,65.5333,72.5167,-5.96,98,19,11.9,RU,1706574765
316,omdurman,15.6445,32.4777,65.37,19,100,12.62,SD,1706574765
317,saint-francois,46.4154,3.9054,42.66,93,0,3.44,FR,1706574579
318,tsumeb,-19.2333,17.7167,65.86,80,74,9.84,NA,1706574765
319,n'zeto,-7.2312,12.8666,80.56,85,100,4.43,AO,1706574766
320,canto do buriti,-8.11,-42.9444,73.9,91,43,3.71,BR,1706574766
321,pathein,16.7833,94.7333,70.3,62,5,5.01,MM,1706574766
322,flying fish cove,-10.4217,105.6791,80.28,94,75,3.44,CX,1706574766
323,lerwick,60.1545,-1.1494,42.8,79,55,13.44,GB,1706574766
324,lindale,32.5157,-95.4094,62.1,66,40,7.11,US,1706574766
325,ponta delgada,37.7333,-25.6667,65.19,82,40,17.27,PT,1706574767
326,birao,10.2849,22.7882,71.96,17,95,10.25,CF,1706574767
327,powell,40.1578,-83.0752,34.68,87,73,4.0,US,1706574473
328,mbala,-8.8402,31.3659,61.2,98,100,2.04,ZM,1706574617
329,quepos,9.4236,-84.1652,79.36,82,67,2.21,CR,1706574767
330,rongelap,11.1635,166.8941,79.25,78,74,16.55,MH,1706574767
331,puerto leguizamo,-0.1934,-74.7819,79.83,71,100,1.54,CO,1706574768
332,pitimbu,-7.4706,-34.8086,81.19,76,12,10.04,BR,1706574768
333,san juan,-31.5375,-68.5364,92.35,22,6,8.95,AR,1706574639
334,sao felix do xingu,-6.6447,-51.995,73.53,98,100,1.36,BR,1706574768
335,minas de marcona,-15.2119,-75.1103,66.79,80,100,12.41,PE,1706574768
336,tromso,69.6496,18.957,33.82,75,100,36.82,NO,1706574768
337,guarda,40.5373,-7.2658,40.17,88,16,5.03,PT,1706574769
338,antofagasta,-23.65,-70.4,69.08,82,55,5.84,CL,1706574705
339,kontcha,7.9667,12.2333,67.91,24,10,1.95,CM,1706574769
340,yanbu,24.0891,38.0637,59.04,72,0,4.61,SA,1706574769
341,richlands,37.0932,-81.7937,37.36,93,0,0.0,US,1706574769
342,namibe,-15.1961,12.1522,72.9,77,14,3.13,AO,1706574769
343,kruisfontein,-34.0033,24.7314,68.88,83,11,5.64,ZA,1706574770
344,guardo,42.7897,-4.8482,43.52,62,19,2.35,ES,1706574770
345,crane,31.3974,-102.3501,59.54,38,100,9.82,US,1706574770
346,capitan bado,-23.2667,-55.5333,75.38,34,93,6.11,PY,1706574770
347,lorengau,-2.0226,147.2712,84.92,72,100,11.39,PG,1706574770
348,pisco,-13.7,-76.2167,77.05,73,0,18.41,PE,1706574770
349,icano,-28.9193,-65.3282,81.09,36,0,5.86,AR,1706574771
350,bowen,-20.0167,148.2333,87.66,73,100,9.71,AU,1706574771
351,kirensk,57.7853,108.1119,-38.04,100,53,1.01,RU,1706574771
352,el nido,11.1858,119.3956,80.64,69,80,16.73,PH,1706574771
353,ust'-ilimsk,58.0006,102.6619,-34.56,100,7,1.01,RU,1706574771
354,kavaratti,10.5669,72.642,82.02,64,20,9.01,IN,1706574772
355,barentu,15.1139,37.5928,64.4,56,100,3.31,ER,1706574772
356,polyarnyy,69.1989,33.4478,32.41,74,100,34.67,RU,1706574772
357,mahina,-17.5065,-149.489,87.57,74,75,8.05,PF,1706574772
358,port blair,11.6667,92.75,77.04,94,40,1.14,IN,1706574773
359,tual,-5.6667,132.75,83.23,77,88,16.53,ID,1706574773
360,laishevo,55.4046,49.5504,25.02,96,100,12.12,RU,1706574773
361,bang saphan,11.2126,99.5117,76.93,87,22,1.21,TH,1706574773
362,tocopilla,-22.092,-70.1979,73.38,76,28,10.07,CL,1706574773
